origin	Dest	count
DTW	LGA	225
ORD	DFW	224
ORD	CVG	219
ORD	MSP	218
DTW	ORD	197
ORD	LAX	169
ORD	DTW	154
MIA	EWR	148
MSP	LGA	142
ORD	LGA	140
ORD	DCA	129
MSP	ORD	126
ORD	CMH	124
ORD	BOS	124
ORD	MIA	123
ORD	ATL	122
ORD	EWR	121
DTW	EWR	118
ORD	DEN	118
PHL	BOS	116
ORD	SFO	114
LGA	RDU	110
ORD	PHX	107
ORD	PHL	106
BOS	DCA	103
DAL	HOU	103
ORD	STL	103
MEM	LGA	101
ORD	IAH	100
ORD	LAS	99
SFO	EWR	98
LGA	CVG	96
ORD	CLT	95
MSP	EWR	95
HOU	DAL	94
DFW	LAX	93
ORD	JFK	93
ORD	MCO	93
LGA	CLT	93
DCA	BOS	92
DFW	CVG	90
LGA	JAX	90
ORD	OMA	89
BOS	PHL	86
ASE	DEN	85
ORD	SEA	85
ORD	CLE	84
JFK	BOS	83
LGA	ORD	82
BTR	DFW	81
ORD	MCI	81
ORD	BNA	81
ORD	DSM	81
PIT	DFW	81
ATL	DFW	81
EWR	CVG	81
EWR	ATL	80
MEM	ORD	79
IAH	LFT	79
ORD	SAN	79
LGA	DFW	78
CVG	ORD	77
PHL	ORD	76
LGA	CHS	75
ORD	HPN	74
DFW	ABI	74
DFW	AUS	72
ATL	GSO	72
BOS	BWI	71
ORD	BDL	71
ATL	BTR	71
ORD	RDU	71
DFW	SHV	71
DFW	LIT	70
DFW	SGF	70
ORD	IND	70
IAH	DAL	70
LGA	CAE	69
DTW	CVG	69
MDW	PHL	69
LGA	MIA	69
PHL	ATL	68
LGA	IAH	68
LGA	SAV	68
ORD	BWI	68
ORD	GRR	67
DFW	LBB	67
ORD	CMI	66
ORD	SNA	66
ORD	MSN	66
BOS	JFK	66
LGA	GSO	66
DFW	SAT	65
IAH	DFW	65
ORD	PIT	64
ORD	RST	64
IAH	CVG	64
DFW	DEN	64
MCI	CVG	63
CLT	LGA	63
ORD	BUF	62
IAH	BNA	62
LAX	SFO	62
JAX	LGA	62
ORD	TPA	61
IAH	BHM	61
DTW	MDW	60
CVG	DFW	60
IAH	CLT	59
MSP	SFO	59
ORD	SLC	59
DFW	AMA	58
ATL	VPS	58
DFW	GRK	58
PFN	ATL	58
SGF	DFW	58
ATL	GPT	57
LFT	DFW	57
DTW	PHL	57
IAH	COS	57
ATL	DAY	57
DFW	PHX	57
ORD	GRB	57
DFW	ATL	56
DFW	LAS	55
MCI	DAL	55
ORD	CID	54
DFW	ORD	54
BUF	BWI	54
JFK	ORD	54
ATL	ORD	54
ORD	MEM	54
IAH	ATL	54
ATL	SDF	53
PIT	JFK	53
MDW	MCI	53
LGA	RIC	53
ATL	MIA	53
DFW	TUL	52
TWF	SLC	52
ATL	JAN	52
DFW	BTR	52
DFW	DCA	52
DFW	XNA	52
IAH	OKC	52
ORD	SYR	52
ORD	ICT	52
EWR	ORD	51
ORD	AUS	51
JFK	LAX	51
MCO	PHL	51
DFW	SPS	51
MDW	LAS	51
BWI	BOS	50
RDU	LGA	50
CLE	ATL	50
MOB	ATL	50
DTW	ATL	50
DTW	BOS	50
JFK	DTW	50
ATL	PFN	49
ORD	FLL	49
ATL	CHA	49
TYS	ATL	49
ORD	XNA	48
ATL	LEX	48
ORD	LIT	48
LGA	DEN	48
BOS	RDU	48
LGA	CMH	48
ATL	AUS	48
CVG	MCI	48
ORD	SDF	48
IAH	SAT	47
IAH	PHX	47
ORD	PIA	47
LIT	ATL	47
ORD	ROC	47
DTW	JFK	47
MCO	DFW	47
MKE	CVG	47
DFW	CRP	47
PIT	PHL	47
ATL	ILM	47
LGA	BHM	47
DEN	ASE	47
CAK	ATL	46
DFW	SAN	46
ATL	LIT	46
LGA	TYS	46
IAH	LAX	46
IAH	AUS	46
MSP	PHL	46
BTR	ATL	45
MKE	ATL	45
ORD	MKE	45
ORD	MSY	45
ORD	OKC	45
ATL	FAY	45
STL	MDW	45
IAH	DCA	45
IAH	ABQ	45
HSV	ATL	45
RDU	ATL	45
EWR	BOS	45
TPA	LGA	45
DFW	MCO	45
SDF	ATL	45
BOS	BGR	44
ATL	FNT	44
EWR	DTW	44
LGA	TPA	44
IAH	MEM	44
IAH	MCI	43
MCI	MDW	43
ATL	TYS	43
DTW	DFW	43
LGA	ATL	43
ORD	SAT	43
ORD	RIC	43
ATL	PHL	43
DFW	JAN	43
ATL	CAE	43
IAH	MFE	43
ATL	MGM	43
ORD	JAX	43
IAH	DEN	43
AUS	DAL	43
ATL	AGS	43
ATL	CAK	42
DAL	MCI	42
DFW	LGA	42
EWR	DFW	42
ATL	TUL	42
ATL	OMA	42
PIT	CVG	42
AGS	ATL	42
ATL	PHF	41
STL	DFW	41
BWI	MDW	41
CMH	MDW	41
DEN	DFW	41
DFW	HOU	41
DFW	MAF	41
