origin	day_count	night_count
ABE	15	2
ABI	12	1
ABQ	43	17
ABY	9	1
ACT	11	1
ACV	6	3
ADQ	2	1
AEX	15	1
AGS	16	1
ALB	41	6
AMA	27	7
ANC	21	7
ASE	57	8
ATL	425	184
ATW	29	2
AUS	87	19
AVL	21	4
AVP	11	1
AZO	9	1
BDL	76	12
BET	3	2
BFL	3	1
BGM	1	1
BGR	16	2
BHM	66	8
BIL	3	1
BIS	7	3
BMI	13	1
BNA	84	31
BOI	16	2
BOS	128	43
BRW	1	1
BTR	46	8
BTV	18	3
BUF	71	20
BUR	43	10
BWI	130	49
CAE	24	5
CAK	24	3
CEC	5	1
CHA	19	3
CHS	44	10
CID	23	9
CLD	1	1
CLE	106	41
CLT	78	45
CMH	84	25
CMI	7	1
COS	42	5
CPR	6	1
CRP	11	1
CRW	14	3
CVG	93	27
CWA	3	2
DAB	12	1
DAL	101	31
DAY	35	9
DCA	107	40
DEN	250	78
DFW	165	69
DHN	14	1
DLH	6	1
DRO	19	4
DSM	46	6
DTW	245	91
EGE	27	3
EKO	1	1
ELP	20	8
EUG	7	1
EVV	20	3
EWR	163	52
FAI	3	1
FAR	7	4
FAT	28	6
FAY	15	1
FCA	4	1
FLG	5	1
FLL	90	24
FNT	22	6
FSD	16	4
FSM	9	1
FWA	16	3
GCC	1	1
GEG	30	6
GFK	3	1
GJT	16	5
GNV	12	1
GPT	25	3
GRB	25	8
GRK	15	2
GRR	43	11
GSO	47	5
GSP	30	6
HDN	19	1
HOU	85	40
HPN	23	6
HRL	7	1
HSV	32	10
IAD	139	56
IAH	221	86
ICT	38	6
IDA	14	1
ILM	16	1
IND	69	23
IPL	3	1
ISP	36	8
JAC	17	2
JAN	46	7
JAX	59	18
JFK	116	63
JNU	7	1
KOA	2	1
LAS	122	50
LAW	12	3
LAX	128	66
LBB	29	9
LCH	8	1
LEX	40	3
LFT	31	3
LGA	180	62
LGB	10	3
LIT	57	9
LNK	5	1
LSE	3	1
MAF	21	4
MCI	97	33
MCO	126	52
MDT	26	2
MDW	132	55
MEM	97	43
MFE	8	1
MFR	3	4
MHT	50	15
MIA	94	38
MKE	109	34
MKG	1	1
MLB	6	2
MLI	29	8
MLU	14	1
MOB	32	2
MOD	2	1
MRY	13	1
MSN	31	4
MSP	158	61
MSY	74	12
MTJ	15	1
MYR	10	3
OAK	43	12
OKC	60	15
OMA	70	12
OME	2	2
ONT	30	3
ORD	337	143
ORF	38	11
OTZ	2	1
PBI	30	8
PDX	45	7
PFN	26	1
PHF	15	4
PHL	117	47
PHX	115	33
PIA	15	2
PIH	3	1
PIT	113	29
PNS	23	6
PSC	3	1
PSP	13	2
PVD	56	18
PWM	25	2
RAP	9	2
RDD	1	1
RDM	12	1
RDU	79	38
RIC	42	12
RNO	47	11
ROA	13	1
ROC	42	6
RST	7	2
RSW	34	8
SAN	101	33
SAT	56	14
SAV	41	7
SBA	16	6
SBN	13	6
SBP	7	3
SDF	56	16
SEA	99	28
SFO	147	32
SGF	32	7
SGU	6	1
SHV	27	4
SIT	1	3
SJC	50	10
SJT	6	1
SJU	12	2
SLC	182	32
SMF	49	7
SNA	41	2
SPS	9	3
SRQ	23	2
STL	117	40
SUN	6	1
SWF	18	2
SYR	23	3
TLH	19	1
TPA	112	38
TUL	68	6
TUS	22	2
TVC	13	3
TWF	20	6
TYS	38	17
VPS	35	4
XNA	49	8
YAK	1	1
YUM	1	1
